îN,åé,ì˙,éûÅiUTCÅj,ë‰ïóî‘çÜ,ë‰ïóñº,äKãâ,à‹ìx,åoìx,íÜêSãCà≥,ç≈ëÂïóë¨,50KTí∑åaï˚å¸,50KTí∑åa,50KTíZåa,30KTí∑åaï˚å¸,30KTí∑åa,30KTíZåa,è„ó§
2021,2,16,6,2101,DUJUAN,2,6.9,136.9,1004,0,0,0,0,0,0,0,0
2021,2,16,12,2101,DUJUAN,2,6.9,136.2,1006,0,0,0,0,0,0,0,0
2021,2,16,18,2101,DUJUAN,2,6.8,135.1,1004,0,0,0,0,0,0,0,0
2021,2,17,0,2101,DUJUAN,2,6.6,134.2,1004,0,0,0,0,0,0,0,0
2021,2,17,6,2101,DUJUAN,2,6.5,133.7,1002,0,0,0,0,0,0,0,0
2021,2,17,12,2101,DUJUAN,2,6.5,133.2,1004,0,0,0,0,0,0,0,0
2021,2,17,18,2101,DUJUAN,2,6.7,132.7,1002,0,0,0,0,0,0,0,0
2021,2,18,0,2101,DUJUAN,3,7.0,132.6,1000,35,0,0,0,7,210,120,0
2021,2,18,6,2101,DUJUAN,3,7.3,132.1,998,35,0,0,0,7,210,120,0
2021,2,18,12,2101,DUJUAN,3,7.2,131.9,996,40,0,0,0,7,210,120,0
2021,2,18,18,2101,DUJUAN,3,7.1,131.6,996,40,0,0,0,7,210,120,0
2021,2,19,0,2101,DUJUAN,3,6.9,131.1,996,40,0,0,0,7,210,120,0
2021,2,19,6,2101,DUJUAN,3,6.7,130.4,996,40,0,0,0,7,210,120,0
2021,2,19,12,2101,DUJUAN,3,6.1,130.5,998,40,0,0,0,7,300,120,0
2021,2,19,18,2101,DUJUAN,3,6.1,130.9,998,40,0,0,0,7,300,120,0
2021,2,20,0,2101,DUJUAN,3,6.3,131.3,998,40,0,0,0,7,400,120,0
2021,2,20,6,2101,DUJUAN,3,6.9,131.1,998,40,0,0,0,7,400,120,0
2021,2,20,12,2101,DUJUAN,3,7.3,130.4,1000,35,0,0,0,7,400,120,0
2021,2,20,18,2101,DUJUAN,3,7.8,129.7,1000,35,0,0,0,7,350,180,0
2021,2,21,0,2101,DUJUAN,3,8.3,129.1,1000,35,0,0,0,7,350,180,0
2021,2,21,6,2101,DUJUAN,3,9.0,128.4,1000,35,0,0,0,7,350,180,0
2021,2,21,12,2101,DUJUAN,2,10.1,126.9,1004,0,0,0,0,0,0,0,0
2021,2,21,18,2101,DUJUAN,2,11.5,126.0,1006,0,0,0,0,0,0,0,0
2021,2,22,0,2101,DUJUAN,2,12.3,125.0,1008,0,0,0,0,0,0,0,0
2021,2,22,6,2101,DUJUAN,2,13.3,124.1,1006,0,0,0,0,0,0,0,0
2021,2,22,12,2101,DUJUAN,2,14.1,123.3,1008,0,0,0,0,0,0,0,0
2021,2,22,18,2101,DUJUAN,2,14.6,122.6,1008,0,0,0,0,0,0,0,0
2021,2,23,0,2101,DUJUAN,2,15.2,122.2,1010,0,0,0,0,0,0,0,0
2021,4,12,18,2102,SURIGAE,2,7.6,138.0,1006,0,0,0,0,0,0,0,0
2021,4,13,0,2102,SURIGAE,2,7.6,137.8,1006,0,0,0,0,0,0,0,0
2021,4,13,6,2102,SURIGAE,2,7.7,137.6,1004,0,0,0,0,0,0,0,0
2021,4,13,12,2102,SURIGAE,2,7.8,137.4,1004,0,0,0,0,0,0,0,0
2021,4,13,18,2102,SURIGAE,3,7.9,137.2,1002,35,0,0,0,9,150,150,0
2021,4,14,0,2102,SURIGAE,3,8.1,137.0,1000,40,0,0,0,9,150,150,0
2021,4,14,6,2102,SURIGAE,3,8.3,136.9,998,40,0,0,0,9,150,150,0
2021,4,14,12,2102,SURIGAE,3,8.4,136.7,994,45,0,0,0,9,150,150,0
2021,4,14,18,2102,SURIGAE,3,8.5,136.5,994,45,0,0,0,9,150,150,0
2021,4,15,0,2102,SURIGAE,4,8.6,136.3,990,50,0,0,0,9,150,150,0
2021,4,15,6,2102,SURIGAE,4,8.6,136.1,985,55,9,30,30,9,150,150,0
2021,4,15,12,2102,SURIGAE,5,8.6,135.8,975,65,9,40,40,9,150,150,0
2021,4,15,18,2102,SURIGAE,5,8.7,135.3,970,70,9,50,50,9,210,210,0
